rio	campanha	ponto	data	iqa	iet	grupo	parametro	classe	unidade	padrao_legal	valor	lat	lon
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Biológicos - Água	Colif. termo	Classe 2 - Doce	NMP/100mL	NE	2,3X10^2	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Biológicos - Água	Colif. termo	Classe 2 - Doce	NMP/100mL	NE	2,3X10^2	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Físico - Ar	Temperatura do Ar	Classe 2 - Doce	ºC	NE	32	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Físico - Ar	Temperatura do Ar	Classe 2 - Doce	ºC	NE	32	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Físicos - Água	Condutividade	Classe 2 - Doce	µS/cm	NE	104,6	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Físicos - Água	Condutividade	Classe 2 - Doce	µS/cm	NE	104,6	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Físicos - Água	Salinidade	Classe 2 - Doce	o/oo	NE	<0,1	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Físicos - Água	Salinidade	Classe 2 - Doce	o/oo	NE	<0,1	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Físicos - Água	Sólidos em suspensão	Classe 2 - Doce	mg/L	NE	<50	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Físicos - Água	Sólidos em suspensão	Classe 2 - Doce	mg/L	NE	<50	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Físicos - Água	Sólidos totais	Classe 2 - Doce	mg/L	NE	102	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Físicos - Água	Sólidos totais	Classe 2 - Doce	mg/L	NE	102	-16,5064444	-39,4790556
